id,label
ss0_a,1
ss1_a,1
ss2_a,1
ss3_a,0
ss4_a,0
ss5_a,1
ss6_a,0
ss7_a,1
ss8_a,1
ss9_a,1
ss10_a,1
ss11_a,1
ss12_a,1
ss13_a,1
ss14_a,1
ss15_a,1
ss16_a,1
ss17_a,1
ss18_a,0
ss19_a,0
ss20_a,0
ss21_a,1
ss22_a,1
ss23_a,0
ss24_a,0
ss25_a,1
ss26_a,1
ss27_a,1
ss28_a,1
ss29_a,1
ss30_a,1
ss31_a,1
ss32_a,0
ss33_a,0
ss34_a,1
ss35_a,0
ss36_a,1
ss37_a,0
ss38_a,1
ss39_a,1
ss40_a,1
ss41_a,0
ss42_a,0
ss43_a,1
ss44_a,0
ss45_a,0
ss46_a,1
ss47_a,1
ss48_a,0
ss49_a,1
ss50_a,1
ss51_a,0
ss52_a,0
ss53_a,1
ss54_a,0
ss55_a,0
ss56_a,1
ss57_a,1
ss58_a,1
ss59_a,1
ss60_a,1
ss61_a,1
ss62_a,1
ss63_a,1
ss64_a,1
ss65_a,0
ss66_a,1
ss67_a,0
ss68_a,1
ss69_a,0
ss70_a,1
ss71_a,1
ss72_a,0
ss73_a,1
ss74_a,0
ss75_a,0
ss76_a,0
ss77_a,0
ss78_a,0
ss79_a,0
ss80_a,1
ss81_a,1
ss82_a,1
ss83_a,0
ss84_a,1
ss85_a,1
ss86_a,0
ss87_a,0
ss88_a,1
ss89_a,1
ss90_a,0
ss91_a,0
ss92_a,0
ss93_a,1
ss94_a,1
ss95_a,0
ss96_a,1
ss97_a,1
ss98_a,1
ss99_a,0
ss100_a,0
ss101_a,1
ss102_a,0
ss103_a,1
ss104_a,1
ss105_a,1
ss106_a,1
ss107_a,1
ss108_a,1
ss109_a,0
ss110_a,0
ss111_a,0
ss112_a,1
ss113_a,1
ss114_a,0
ss115_a,1
ss116_a,0
ss117_a,1
ss118_a,1
ss119_a,0
ss120_a,1
ss121_a,1
ss122_a,1
ss123_a,1
ss124_a,1
ss125_a,1
ss126_a,1
ss127_a,0
ss128_a,0
ss129_a,0
ss130_a,1
ss131_a,1
ss132_a,1
ss133_a,1
ss134_a,1
ss135_a,1
ss136_a,0
ss137_a,1
ss138_a,1
ss139_a,1
ss140_a,1
ss141_a,0
ss142_a,1
ss143_a,1
ss144_a,1
ss145_a,1
ss146_a,0
ss147_a,0
ss148_a,1
ss149_a,1
ss150_a,1
ss151_a,1
ss152_a,1
ss153_a,1
ss154_a,1
ss155_a,0
ss156_a,1
ss157_a,1
ss158_a,1
ss159_a,1
ss160_a,1
ss161_a,1
ss162_a,0
ss163_a,1
ss164_a,1
ss165_a,0
ss166_a,0
ss167_a,1
ss168_a,0
ss169_a,1
ss170_a,1
ss171_a,0
ss172_a,1
ss173_a,1
ss174_a,1
ss175_a,1
ss176_a,1
